experiment,resolution,width,height,pixel_count,max_iter,implementation,execution_time_seconds,status,notes
scaling,256x256,256,256,65536,50,naive,0.2329,measured,
scaling,256x256,256,256,65536,50,numpy,0.0389,measured,
scaling,256x256,256,256,65536,50,numba,0.0041,measured,
scaling,512x512,512,512,262144,50,naive,0.9436,measured,
scaling,512x512,512,512,262144,50,numpy,0.3025,measured,
scaling,512x512,512,512,262144,50,numba,0.0144,measured,
scaling,1024x1024,1024,1024,1048576,50,naive,3.8150,measured,
scaling,1024x1024,1024,1024,1048576,50,numpy,1.4264,measured,
scaling,1024x1024,1024,1024,1048576,50,numba,0.0611,measured,
scaling,2048x2048,2048,2048,4194304,50,naive,,skipped,would take too long
scaling,2048x2048,2048,2048,4194304,50,numpy,4.9082,measured,
scaling,2048x2048,2048,2048,4194304,50,numba,0.2253,measured,
